Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
125614,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,31.0,31.0,31.0,,,,,,,,36.0,,,,,,,,52.0,,88.0,,,102747.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125615,6/6/1944,ETO,USA,12 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,33.0,33.0,33.0,,,,,,,,61.0,,,,,,,,25.0,,86.0,,,205764.0,,,,,,,GB24
125616,6/6/1944,ETO,USA,12 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,22.0,22.0,22.0,,,,,,,,42.0,,,,,,,,18.0,,60.0,,,205765.0,,,,,,,GB24
125617,6/6/1944,ETO,USA,12 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,31.0,31.0,31.0,,,,,,,,36.0,,,,,,,,52.0,,88.0,,,205766.0,,,,,,,GB24
125618,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,33.0,33.0,33.0,,,,,,,,61.0,,,,,,,,25.0,,86.0,,,205900.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125619,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,22.0,22.0,22.0,,,,,,,,42.0,,,,,,,,18.0,,60.0,,,205901.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125620,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,180.0,31.0,31.0,31.0,,,,,,,,36.0,,,,,,,,52.0,,88.0,,,205902.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125621,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,,6.0,6.0,6.0,,,,,,,,4.0,,,,,,,,2.0,,6.0,,,102744.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125622,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,4,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,102748.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125623,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,4,,,,2.0,2.0,2.0,,,,,,,,3.0,,,,,,,,,,3.0,,,102749.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125624,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,ROAD,HIGHWAYS AND VEHICLES,4,,,,,,,,,,,,,,22.0,,,,,,,,,,22.0,,,166309.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125625,6/6/1944,ETO,USA,12 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,,6.0,6.0,6.0,,,,,,,,4.0,,,,,,,,2.0,,6.0,,,205763.0,,,,,,,GB24
125626,6/6/1944,ETO,USA,12 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,4,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,205767.0,,,,,,,GB24
125627,6/6/1944,ETO,USA,12 AF,,GB24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,4,,,,2.0,2.0,2.0,,,,,,,,3.0,,,,,,,,,,3.0,,,205768.0,,,,,,,GB24
125628,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,ROAD,HIGHWAYS AND VEHICLES,4,,,,3.0,3.0,3.0,,,,,,,,9.0,,,,,,,,,,9.0,,,166310.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125629,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,1,,,,6.0,6.0,6.0,,,,,,,,4.0,,,,,,,,2.0,,6.0,,,205899.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125630,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,4,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,205903.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125631,6/6/1944,ETO,USA,12 AF,,B24,,,,,,,44333,FRANCE,UNKNOWN,GP,GUN EMPLACEMENTS,4,,,,2.0,2.0,2.0,,,,,,,,3.0,,,,,,,,,,3.0,,,205904.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125632,6/6/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,6882,FRANCE,CAEN,CITY AREA,CITIES TOWNS AND URBAN AREAS,,49.18,-0.37,250.0,,,,,,,,,,,483.0,,,,,,,,,,483.0,,,295033.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
125633,6/6/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,6882,FRANCE,CAEN,CITY AREA,CITIES TOWNS AND URBAN AREAS,1,49.18,-0.37,250.0,17.0,17.0,17.0,,,,,,,,6.0,,,,,,,,,,6.0,,,295034.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
125634,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.73,-0.02,195.0,9.0,9.0,9.0,,,,,,,,16.0,,,,,,,,,,16.0,,,166291.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125635,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",2,48.73,-0.02,190.0,9.0,9.0,9.0,,,,,,,,27.0,,,,,,,,,,27.0,,,166305.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125636,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.73,-0.02,180.0,22.0,22.0,22.0,,,,,,,,44.0,,,,,,,,,,44.0,,,166292.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
