wwii_id,master_index_number,msndate,theater,naf,country_flying_mission,tgt_country_code,tgt_country,tgt_location,tgt_type,tgt_id,tgt_industry_code,tgt_industry,source_latitude,source_longitude,latitude,longitude,unit_id,mds,aircraft_name,msn_type,tgt_priority,tgt_priority_explanation,ac_attacking,altitude,altitude_feet,number_of_he,type_of_he,lbs_he,tons_of_he,number_of_ic,type_of_ic,lbs_ic,tons_of_ic,number_of_frag,type_of_frag,lbs_frag,tons_of_frag,total_lbs,total_tons,takeoff_base,takeoff_country,takeoff_latitude,takeoff_longitude,ac_lost,ac_damaged,ac_airborne,ac_dropping,time_over_target,sighting_method_code,sighting_explanation,bda,callsign,rounds_ammo,spares_return_ac,wx_fail_ac,mech_fail_ac,misc_fail_ac,target_comment,mission_comments,source,database_edit_comments,weapon_type,weapon_description
125611,205917.0,1944-06-06,ETO,15 AF,USA,7.0,FRANCE,UNKNOWN,TACTICAL TARGET,44333.0,80.0,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),,,,,,B24,B24,,1,PRIMARY TARGET,,,,,,,44.0,,,,,,,,,,44.0,,,,,,,,,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125612,102745.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,33.0,180.0,,,,,61.0,,,,,,,,25.0,,86.0,,,,,,,33.0,33.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125613,102746.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,22.0,180.0,,,,,42.0,,,,,,,,18.0,,60.0,,,,,,,22.0,22.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125614,102747.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,31.0,180.0,,,,,36.0,,,,,,,,52.0,,88.0,,,,,,,31.0,31.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125615,205764.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,GB24,B24,,1,PRIMARY TARGET,33.0,180.0,,,,,61.0,,,,,,,,25.0,,86.0,,,,,,,33.0,33.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125616,205765.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,GB24,B24,,1,PRIMARY TARGET,22.0,180.0,,,,,42.0,,,,,,,,18.0,,60.0,,,,,,,22.0,22.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125617,205766.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,GB24,B24,,1,PRIMARY TARGET,31.0,180.0,,,,,36.0,,,,,,,,52.0,,88.0,,,,,,,31.0,31.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125618,205900.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,33.0,180.0,,,,,61.0,,,,,,,,25.0,,86.0,,,,,,,33.0,33.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125619,205901.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,22.0,180.0,,,,,42.0,,,,,,,,18.0,,60.0,,,,,,,22.0,22.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125620,205902.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,31.0,180.0,,,,,36.0,,,,,,,,52.0,,88.0,,,,,,,31.0,31.0,,3,F.F.F.,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
