Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID
119279,1944-06-01,ETO,,,,B26,,,,,,,41289,FRANCE,ST MARIE,,GUN EMPLACEMENTS,,45.28,2.0,100.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,205013.0
119280,1944-06-01,ETO,,,,B26,,,,,,,24098,FRANCE,LE HAVRE,,GUN EMPLACEMENTS,,49.5,6.0,12.0,,,,,,,,,,,58.0,,,,,,,,,,58.0,,,205004.0
119281,1944-06-01,ETO,,,,B26,,,,,,,18794,FRANCE,HERMANVILLE,,GUN EMPLACEMENTS,,49.82,0.98,11.0,,,,,,,,,,,30.0,,,,,,,,,,30.0,,,205002.0
119282,1944-06-01,ETO,,,,B26,,,,,,,41289,FRANCE,ST MARIE,,GUN EMPLACEMENTS,,45.28,2.0,10.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,205005.0
119283,1944-06-01,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,13658,FRANCE,FERME D UREILIE,WATCH TOWER STATION,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),,,,,,,,,,,,,,,211.0,,,,,,,,,,211.0,,,294961.0
119284,1944-06-01,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,13658,FRANCE,FERME D UREILIE,WATCH TOWER STATION,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),,,,,94.0,94.0,94.0,,,,,,,,276.0,,,,,,,,,,276.0,,,294962.0
119682,1944-06-02,ETO,USA,12 AF,,B26,,,,,,,90129,FRANCE,43 40 N 004 40 E,AIRDROME,AIR FIELDS AND AIRDROMES,1,43.67,4.67,88.0,18.0,18.0,18.0,,,,,,,,36.0,,,,,,,,,,36.0,,,102250.0
119683,1944-06-02,ETO,USA,12 AF,,B26,,,,,,,90129,FRANCE,43 40 N 004 40 E,AIRDROME,AIR FIELDS AND AIRDROMES,1,43.67,4.67,88.0,18.0,18.0,18.0,,,,,,,,36.0,,,,,,,,,,36.0,,,205047.0
119684,1944-06-02,ETO,USA,9 AF,,B17,,,,,,,3147,FRANCE,BEAUM0NT SUR OISE,AIRDROME,AIR FIELDS AND AIRDROMES,4,49.13,2.28,206.0,12.0,12.0,12.0,,,,,,,,35.0,,,,,,,,,,35.0,,,102242.0
119685,1944-06-02,ETO,USA,9 AF,,B17,,,,,,,3147,FRANCE,BEAUM0NT SUR OISE,AIRDROME,AIR FIELDS AND AIRDROMES,4,49.13,2.28,206.0,12.0,12.0,12.0,,,,,,,,35.0,,,,,,,,,,35.0,,,205037.0
119686,1944-06-02,ETO,USA,9 AF,,B17,,,,,,,3147,FRANCE,BEAUM0NT SUR OISE,AIRDROME,AIR FIELDS AND AIRDROMES,4,49.13,2.28,206.0,12.0,12.0,12.0,,,,,,,,35.0,,,,,,,,,,35.0,,,205182.0
119687,1944-06-02,ETO,GREAT BRITAIN,RAF,,LGT,,,,,,,23829,FRANCE,LAVAL,MARSHALLING YARDS,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",,48.02,-1.48,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,2.0,,,294974.0
119688,1944-06-02,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,43658,FRANCE,TRAPPES,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",,48.77,2.0,,,,,,,,,,,,408.0,,,,,,,,,,408.0,,,294980.0
119689,1944-06-02,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,43658,FRANCE,TRAPPES,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",,48.77,2.0,,,,,,,,,,,,43.0,,,,,,,,,,43.0,,,294981.0
119690,1944-06-02,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,43658,FRANCE,TRAPPES,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.77,2.0,,23.0,23.0,23.0,,,,,,,,18.0,,,,,,,,,,18.0,,,294982.0
119693,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,265.0,18.0,18.0,18.0,,,,,,,,54.0,,,,,,,,,,54.0,,,102283.0
119694,1944-06-02,ETO,,,,GB17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,265.0,18.0,18.0,18.0,,,,,,,,54.0,,,,,,,,,,54.0,,,205055.0
119695,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,265.0,18.0,18.0,18.0,,,,,,,,54.0,,,,,,,,,,54.0,,,205142.0
119698,1944-06-02,ETO,,,,B17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,252.0,16.0,16.0,16.0,,,,,,,,48.0,,,,,,,,,,48.0,,,102293.0
119699,1944-06-02,ETO,,,,GB17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,252.0,16.0,16.0,16.0,,,,,,,,48.0,,,,,,,,,,48.0,,,205084.0
119700,1944-06-02,ETO,,,,B17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,252.0,16.0,16.0,16.0,,,,,,,,48.0,,,,,,,,,,48.0,,,205152.0
120001,1944-06-02,ETO,,,,B17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,248.0,20.0,20.0,20.0,,,,,,,,60.0,,,,,,,,,,60.0,,,102292.0
120002,1944-06-02,ETO,,,,GB17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,248.0,20.0,20.0,20.0,,,,,,,,60.0,,,,,,,,,,60.0,,,205083.0
120003,1944-06-02,ETO,,,,B17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,248.0,20.0,20.0,20.0,,,,,,,,60.0,,,,,,,,,,60.0,,,205151.0
120004,1944-06-02,ETO,,,,B17,,,,,,,47378,FRANCE,WIMEREUX,,V - WEAPON LAUNCHING SITES,1,50.77,1.62,247.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,102323.0
120005,1944-06-02,ETO,,,,GB17,,,,,,,47378,FRANCE,WIMEREUX,,V - WEAPON LAUNCHING SITES,1,50.77,1.62,247.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,205105.0
120006,1944-06-02,ETO,,,,B17,,,,,,,47378,FRANCE,WIMEREUX,,V - WEAPON LAUNCHING SITES,1,50.77,1.62,247.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,205180.0
120007,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,246.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,102286.0
120008,1944-06-02,ETO,,,,GB17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,246.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,205058.0
120009,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,246.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,205145.0
120010,1944-06-02,ETO,,,,B17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,235.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,102296.0
120011,1944-06-02,ETO,,,,GB17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,235.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,205087.0
120012,1944-06-02,ETO,,,,B17,,,,,,,12759,FRANCE,EQUIHEN,,V - WEAPON LAUNCHING SITES,1,50.67,1.57,235.0,17.0,17.0,17.0,,,,,,,,51.0,,,,,,,,,,51.0,,,205155.0
120013,1944-06-02,ETO,,,,B17,,,,,,,27056,FRANCE,MASSAY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,47.15,2.0,227.0,15.0,15.0,15.0,,,,,,,,43.0,,,,,,,,,,43.0,,,166115.0
120014,1944-06-02,ETO,,,,GB17,,,,,,,27056,FRANCE,MASSAY,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,1,47.15,2.0,227.0,15.0,15.0,15.0,,,,,,,,43.0,,,,,,,,,,43.0,,,166128.0
