Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
174219,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,122.0,,,,,,,,,,,39.0,,,,,,,,,,39.0,,,209128.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174220,7/23/1944,ETO,,,,A20,,,,,,,23367,FRANCE,LAIGLE,,BRIDGES,,48.77,0.63,122.0,,,,,,,,,,,31.0,,,,,,,,,,31.0,,,105892.0,1.0,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,Douglas A-20 Havoc
174221,7/23/1944,ETO,,,,A20,,,,,,,23367,FRANCE,LAIGLE,,BRIDGES,,48.77,0.63,122.0,,,,,,,,,,,31.0,,,,,,,,,,31.0,,,209098.0,1.0,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,Douglas A-20 Havoc
174223,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,120.0,,,,,,,,,,,43.0,,,,,,,,,,43.0,,,105911.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174224,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,120.0,,,,,,,,,,,43.0,,,,,,,,,,43.0,,,209129.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174225,7/23/1944,ETO,,,,B26,,,,,,,39781,FRANCE,SERQUIGNY,,BRIDGES,,49.12,0.72,120.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,105895.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174226,7/23/1944,ETO,,,,B26,,,,,,,39781,FRANCE,SERQUIGNY,,BRIDGES,,49.12,0.72,120.0,,,,,,,,,,,53.0,,,,,,,,,,53.0,,,105896.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174227,7/23/1944,ETO,,,,B26,,,,,,,39781,FRANCE,SERQUIGNY,,BRIDGES,,49.12,0.72,120.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,209101.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174228,7/23/1944,ETO,,,,B26,,,,,,,39781,FRANCE,SERQUIGNY,,BRIDGES,,49.12,0.72,120.0,,,,,,,,,,,53.0,,,,,,,,,,53.0,,,209102.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174229,7/23/1944,ETO,,,,B26,,,,,,,28150,FRANCE,MIRVILLE,,BRIDGES,,49.6,0.45,117.0,,,,,,,,,,,60.0,,,,,,,,,,60.0,,,105894.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174230,7/23/1944,ETO,,,,B26,,,,,,,28150,FRANCE,MIRVILLE,,BRIDGES,,49.6,0.45,117.0,,,,,,,,,,,60.0,,,,,,,,,,60.0,,,209100.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174231,7/23/1944,ETO,,,,A20,,,,,,,13336,FRANCE,EVREUX,,BRIDGES,,49.02,1.17,116.0,,,,,,,,,,,39.0,,,,,,,,,,39.0,,,105888.0,1.0,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,Douglas A-20 Havoc
174232,7/23/1944,ETO,,,,A20,,,,,,,13336,FRANCE,EVREUX,,BRIDGES,,49.02,1.17,116.0,,,,,,,,,,,39.0,,,,,,,,,,39.0,,,209094.0,1.0,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,Douglas A-20 Havoc
174233,7/23/1944,ETO,,,,B26,,,,,,,22836,FRANCE,LA CROISILLE,,BRIDGES,,48.97,0.97,116.0,,,,,,,,,,,64.0,,,,,,,,,,64.0,,,105891.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174234,7/23/1944,ETO,,,,B26,,,,,,,22836,FRANCE,LA CROISILLE,,BRIDGES,,48.97,0.97,116.0,,,,,,,,,,,64.0,,,,,,,,,,64.0,,,209097.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174235,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,115.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,105912.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174236,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,115.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,209126.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174237,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,115.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,209130.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174238,7/23/1944,ETO,,,,B26,,,,,,,22836,FRANCE,LA CROISILLE,,BRIDGES,,48.97,0.97,115.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,105890.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174239,7/23/1944,ETO,,,,B26,,,,,,,22836,FRANCE,LA CROISILLE,,BRIDGES,,48.97,0.97,115.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,209096.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174240,7/23/1944,ETO,,,,B26,,,,,,,14350,FRANCE,FORET DE CONCHES,,SUPPLY DUMPS AND WAREHOUSES,,48.93,0.9,12.0,,,,,,,,,,,43.0,,,,,,,,,,43.0,,,209125.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
174443,7/23/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,6521,FRANCE,BUISSON LE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,,44.87,0.92,,51.0,51.0,51.0,,,,,,,,8.0,,,,,,,,,,8.0,,,209147.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
174444,7/23/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,6521,FRANCE,BUISSON LE,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,,44.87,0.92,,,,,,,,,,,,189.0,,,,,,,,,,189.0,,,209148.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
174446,7/23/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,14458,FRANCE,FORET DU CROC,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,49.8,1.2,,24.0,24.0,24.0,,,,,,,,107.0,,,,,,,,,,107.0,,,295549.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
174447,7/23/1944,ETO,GREAT BRITAIN,RAF,,LGT,,,,,,,14458,FRANCE,FORET DU CROC,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,49.8,1.2,,6.0,6.0,6.0,,,,,,,,6.0,,,,,,,,,,6.0,,,295550.0,,,,,,,LGT
174448,7/23/1944,ETO,,,,B24,,,,,,,21063,FRANCE,JUVINCOURT,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.43,3.9,,4.0,4.0,4.0,,,,,,,,8.0,,,,,,,,,,8.0,,,105907.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174449,7/23/1944,ETO,,,,B24,,,,,,,21063,FRANCE,JUVINCOURT,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.43,3.9,,4.0,4.0,4.0,,,,,,,,8.0,,,,,,,,,,8.0,,,209115.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174450,7/23/1944,ETO,,,,B24,,,,,,,21063,FRANCE,JUVINCOURT,AIRDROME,AIR FIELDS AND AIRDROMES,1,49.43,3.9,,4.0,4.0,4.0,,,,,,,,8.0,,,,,,,,,,8.0,,,209132.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174451,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,,5.0,5.0,5.0,,,,,,,,10.0,,,,,,,,,,10.0,,,105914.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174452,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,,3.0,3.0,3.0,,,,,,,,6.0,,,,,,,,,,6.0,,,105916.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174453,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,4,49.57,3.63,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,2.0,,,105919.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
