Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
170273,7/19/1944,ETO,,,,B26,,,,,,,41147,FRANCE,ST HILAIRE DU HARCO,UNIDENTIFIED TARGET,UNIDENTIFIED TARGETS,,48.57,1.08,120.0,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,169129.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
170274,7/19/1944,ETO,,,,A20,,,,,,,41167,FRANCE,,,UNIDENTIFIED TARGETS,,,,120.0,,,,,,,,,,,30.0,,,,,,,,,,30.0,,,105584.0,1.0,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,Douglas A-20 Havoc
170275,7/19/1944,ETO,,,,A20,,,,,,,41167,FRANCE,,,UNIDENTIFIED TARGETS,,,,120.0,,,,,,,,,,,30.0,,,,,,,,,,30.0,,,169130.0,1.0,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,Douglas A-20 Havoc
170276,7/19/1944,ETO,,,,B26,,,,,,,29759,FRANCE,NANTERRE,,BRIDGES,,48.87,2.2,110.0,,,,,,,,,,,68.0,,,,,,,,,,68.0,,,105538.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
170277,7/19/1944,ETO,,,,B26,,,,,,,29759,FRANCE,NANTERRE,,BRIDGES,,48.87,2.2,110.0,,,,,,,,,,,68.0,,,,,,,,,,68.0,,,208929.0,10.0,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,Martin B-26 Marauder
170293,7/19/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,36794,FRANCE,ROLLEZ,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,50.53,2.07,,,,,,,,,,,,16.0,,,,,,,,,,16.0,,,295495.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
170294,7/19/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,36794,FRANCE,ROLLEZ,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,50.53,2.07,,16.0,16.0,16.0,,,,,,,,82.0,,,,,,,,,,82.0,,,295496.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
170295,7/19/1944,ETO,GREAT BRITAIN,RAF,,LGT,,,,,,,36794,FRANCE,ROLLEZ,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,50.53,2.07,,4.0,4.0,4.0,,,,,,,,4.0,,,,,,,,,,4.0,,,295497.0,,,,,,,LGT
170299,7/19/1944,ETO,,,,B24,,,,,,,42241,FRANCE,STRASSBURG,RAIL INSTALL,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.58,7.75,,2.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,169227.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
170300,7/19/1944,ETO,,,,B24,,,,,,,42241,FRANCE,STRASSBURG,RAIL INSTALL,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.58,7.75,,8.0,8.0,8.0,,,,,,,,24.0,,,,,,,,,,24.0,,,169228.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
170301,7/19/1944,ETO,,,,B24,,,,,,,42241,FRANCE,STRASSBURG,RAIL INSTALL,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",4,48.58,7.75,,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,3.0,,,169230.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
170302,7/19/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,43220,FRANCE,THIVERNY,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,49.25,2.43,,,,,,,,,,,,95.0,,,,,,,,,,95.0,,,295498.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
170303,7/19/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,43220,FRANCE,THIVERNY,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,49.25,2.43,,96.0,96.0,96.0,,,,,,,,99.0,,,,,,,,,,99.0,,,295499.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
170862,7/20/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,1434,FRANCE,ARDOUVAL,CITY AREA,CITIES TOWNS AND URBAN AREAS,,49.82,1.13,,,,,,,,,,,,55.0,,,,,,,,,,55.0,,,295503.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
170863,7/20/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,1434,FRANCE,ARDOUVAL,CITY AREA,CITIES TOWNS AND URBAN AREAS,,49.82,1.13,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,295504.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
